"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"1","CH",2019-04-03,88.3,-1.34,5.54,"Jacob deGrom",595453,594798,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Chad Wallach strikes out swinging.  ","R","R","R","MIA","NYM","S","2","null",3,2,2019,-1.35,0.41,0.27,1.62,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_002011",6.9191242291789,-128.608932207756,-4.41609034760999,-16.7754533135731,26.842421758743,-26.769149097272,3.74,1.81,NA,NA,NA,89.7,1773,7.1,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.34,"null","null","0.00","1","0","0","null",56,6,"Changeup",0,4,0,4,4,0,0,4,"Standard","Standard",0
"2","FF",2019-04-03,97.9,-1.31,5.6,"Jacob deGrom",595453,594798,"null","ball",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","B","null","null",2,2,2019,-0.48,1.52,1.34,2.28,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001956",8.3555178351684,-142.327829389827,-7.04634881435618,-8.65456347396244,34.1792391834568,-9.7628465056463,3.74,1.81,NA,NA,NA,98.4,2398,6.7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.31,"null","null","null","null","null","null","null",56,5,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",0
"3","CH",2019-04-03,87.2,-1.38,5.54,"Jacob deGrom",595453,594798,"null","swinging_strike",NA,NA,NA,NA,8,"null","R","R","R","MIA","NYM","S","null","null",2,1,2019,-1.29,0.34,-0.23,2.23,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001935",5.60197087654803,-126.982273210979,-2.55047099208976,-15.5167970609542,26.3579066070733,-28.055232748981,3.69,1.69,NA,NA,NA,88.6,1768,7.2,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"null","null","null","null","null","null","null",56,4,"Changeup",0,4,0,4,4,0,0,4,"Standard","Standard",0
"4","CH",2019-04-03,88.7,-1.4,5.61,"Jacob deGrom",595453,594798,"null","swinging_strike",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","S","null","null",2,0,2019,-1.12,0.64,0.31,1.59,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001920",6.66242039144069,-129.103973047124,-5.21380145853272,-14.1545197462665,27.2049482497432,-23.9526514752756,3.65,1.72,NA,NA,NA,89.8,1720,7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.4,"null","null","null","null","null","null","null",56,3,"Changeup",0,4,0,4,4,0,0,4,"Standard","Standard",0
"5","FF",2019-04-03,96.2,-1.53,5.73,"Jacob deGrom",595453,594798,"null","ball",NA,NA,NA,NA,11,"null","R","R","R","MIA","NYM","B","null","null",1,0,2019,-0.35,1.52,-0.92,3.37,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001903",2.42170506498892,-140.04772322946,-4.16889466986156,-5.18075396772468,33.9780020765956,-11.2371233548236,3.69,1.74,NA,NA,NA,96.8,2380,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.53,"null","null","null","null","null","null","null",56,2,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard",0
"6","SL",2019-04-03,94.1,-1.4,5.66,"Jacob deGrom",595453,594798,"null","ball",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","B","null","null",0,0,2019,0.18,0.62,1.02,1.58,NA,NA,NA,2,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001850",5.94599305582839,-137.017523566335,-6.40587457248617,1.01283040652971,29.9643122598034,-22.9692173646221,3.74,1.76,NA,NA,NA,95.6,2417,7.1,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.4,"null","null","null","null","null","null","null",56,1,"Slider",0,4,0,4,4,0,0,4,"Standard","Standard",0
"7","CH",2019-04-03,88.2,-1.26,5.6,"Jacob deGrom",621446,594798,"strikeout","swinging_strike",NA,NA,NA,NA,7,"Lewis Brinson strikes out swinging.  ","R","R","R","MIA","NYM","S","2","null",2,2,2019,-1.2,0.65,-0.54,2.25,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001821",4.36469983418737,-128.517798841605,-3.49016203032306,-14.525675338068,26.5960322316418,-24.2703326053765,3.65,1.74,NA,NA,NA,89.6,1696,7.1,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.26,"null","null","0.00","1","0","0","null",55,5,"Changeup",0,4,0,4,4,0,0,4,"Standard","Standard",0
"8","SL",2019-04-03,93.8,-1.23,5.67,"Jacob deGrom",621446,594798,"null","ball",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","B","null","null",1,2,2019,0.16,0.72,1.73,1.11,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001801",7.36371053172613,-136.374271069838,-7.77111026550399,0.406077696230621,30.9201283426958,-21.3708817072484,3.67,1.69,NA,NA,NA,94.8,2425,7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.23,"null","null","null","null","null","null","null",55,4,"Slider",0,4,0,4,4,0,0,4,"Standard","Standard",0
"9","CH",2019-04-03,90.1,-1.38,5.63,"Jacob deGrom",621446,594798,"null","swinging_strike",NA,NA,NA,NA,13,"null","R","R","R","MIA","NYM","S","null","null",1,1,2019,-1.22,0.56,-0.33,1.08,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001743",5.33521418129764,-131.17591909526,-6.62906137918818,-15.5059893690253,27.8719867323112,-24.4099870733212,3.72,1.69,NA,NA,NA,91.2,1749,7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"null","null","null","null","null","null","null",55,3,"Changeup",0,4,0,4,4,0,0,4,"Standard","Standard",0
"10","SL",2019-04-03,92.8,-1.46,5.71,"Jacob deGrom",621446,594798,"null","swinging_strike",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","S","null","null",1,0,2019,0.28,0.59,0.94,1.69,NA,NA,NA,1,7,"Bot",NA,NA,NA,NA,621512,NA,"190404_001725",5.5438372442253,-135.067760924787,-5.85259431872852,2.29580176334276,28.9475574041129,-23.8289189851566,3.74,1.72,NA,NA,NA,93.3,2366,6.6,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.46,"null","null","null","null","null","null","null",55,2,"Slider",0,4,0,4,4,0,0,4,"Strategic","Standard",0
